Student_ID,Name,Age_teen,Gender_teen,Country_teen,School_Grade,Avg_Daily_Usage_Hours_teen,Sleep_Hours_Per_Night_teen,Affects_Academic_Performance_teen,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addicted_Score_teen,Age_social,Gender_social,Academic_Level,Country_social,Avg_Daily_Usage_Hours_social,Most_Used_Platform,Affects_Academic_Performance_social,Sleep_Hours_Per_Night_social,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score_social
81,Christopher Smith,19,Male,Lake Susanport,11th,4.3,4.3,91,6,0.0,9,8,5,0,0.9,98,7,2.2,0.6,0.3,Social Media,8,5.2,8.3,21,Male,Graduate,Georgia,3.0,LinkedIn,No,7.1,8,In Relationship,1,Medium
82,Andrew Kim,19,Female,North Cristina,7th,7.6,6.4,88,4,0.0,6,4,8,0,1.8,77,15,4.6,0.0,0.0,Gaming,7,7.1,10.0,19,Female,Undergraduate,Azerbaijan,4.8,TikTok,Yes,5.7,6,Single,3,High
83,Rebecca Reynolds,17,Female,Lake Adrianberg,7th,5.5,6.9,65,3,0.4,6,9,9,1,0.4,82,6,1.6,1.1,0.2,Browsing,4,6.2,7.6,20,Male,Undergraduate,Cyprus,3.8,Facebook,No,6.6,7,Complicated,2,Medium
84,Catherine Bradshaw,15,Other,Sarahfurt,10th,4.8,6.3,76,8,1.6,2,6,7,1,1.1,136,11,4.8,1.3,1.2,Social Media,8,5.3,10.0,22,Female,Graduate,Malta,2.7,LinkedIn,No,7.2,8,In Relationship,1,Medium
85,Tammy Carter,19,Other,Marktown,9th,7.4,6.3,75,6,1.5,9,7,2,1,0.3,85,9,2.9,2.9,0.0,Social Media,1,7.6,10.0,18,Male,High School,Luxembourg,5.6,Snapchat,Yes,5.3,5,Single,4,High
86,Maria Ochoa,16,Male,South Tonyton,12th,3.8,5.1,85,1,0.0,8,7,8,0,0.6,104,10,1.8,0.5,1.3,Social Media,9,9.3,7.6,21,Female,Undergraduate,Monaco,4.5,Instagram,Yes,5.8,6,Complicated,3,High
87,James Herrera,13,Other,Lake Nancy,10th,7.3,5.6,84,1,0.2,4,1,8,0,1.2,22,11,2.2,2.0,0.9,Other,1,4.1,10.0,19,Male,High School,Andorra,5.3,TikTok,Yes,5.5,5,In Relationship,4,High
88,Brian Coleman,19,Female,Kevinport,8th,0.7,4.6,64,6,1.3,10,1,9,0,0.4,146,10,2.2,0.2,1.3,Other,3,5.3,5.7,23,Female,Graduate,San Marino,2.6,LinkedIn,No,7.3,8,Single,1,Medium
89,Gregory Martinez,14,Male,South Adamside,11th,3.0,6.6,82,0,0.8,1,3,3,0,0.6,84,6,3.7,2.3,1.0,Other,9,6.7,8.6,20,Male,Undergraduate,Vatican City,4.4,YouTube,Yes,6.0,6,Complicated,3,High
90,Richard Nichols,19,Other,East Andrewport,12th,4.0,7.4,83,3,0.3,10,4,4,0,0.6,55,18,4.1,0.8,0.0,Gaming,3,7.4,9.9,18,Female,High School,Liechtenstein,5.8,Instagram,Yes,5.2,5,Single,4,High
91,Steven Tanner,16,Other,Craigstad,12th,8.1,6.8,59,1,0.0,7,3,1,0,0.6,129,7,0.7,2.5,1.5,Other,1,5.1,10.0,22,Male,Graduate,Montenegro,2.9,Facebook,No,7.0,7,In Relationship,2,Medium
92,Michael Farmer,17,Male,Guerrafort,12th,5.2,6.6,56,10,0.9,6,8,4,0,0.5,98,16,2.4,1.4,1.0,Other,5,8.1,10.0,19,Female,Undergraduate,Albania,4.7,TikTok,Yes,5.8,6,Complicated,3,High
93,Keith Ward,18,Other,Parsonsfurt,7th,1.7,6.2,52,8,1.3,2,2,7,0,1.3,76,17,1.1,1.9,0.7,Social Media,7,6.5,6.5,21,Male,Undergraduate,North Macedonia,3.7,Snapchat,No,6.5,7,Single,2,Medium
94,Aaron Parker,15,Male,Port Maryborough,8th,6.8,7.4,100,9,1.1,6,7,7,0,1.9,123,11,4.2,1.6,0.7,Social Media,5,6.8,10.0,20,Female,High School,Kosovo,5.5,Instagram,Yes,5.4,5,In Relationship,4,High
95,Wesley Miller,18,Female,Sherryton,9th,6.4,10.0,89,0,1.2,9,9,8,0,0.5,128,9,4.1,3.2,1.4,Education,2,4.6,10.0,23,Male,Graduate,Bosnia,2.4,LinkedIn,No,7.4,8,Complicated,1,Medium
96,Tiffany Santiago,17,Male,Wilsonton,9th,7.2,7.4,63,7,0.1,2,3,8,0,0.7,112,11,3.8,0.5,0.5,Social Media,4,2.3,10.0,19,Female,Undergraduate,Qatar,4.9,TikTok,Yes,5.7,6,Single,3,High
97,Lindsey Sloan,18,Female,Lake Adamfort,10th,3.3,5.7,93,5,1.7,9,6,7,1,0.1,72,17,3.6,1.2,0.3,Other,10,6.6,10.0,18,Male,High School,Kuwait,5.7,Snapchat,Yes,5.3,5,In Relationship,4,High
98,Kristin Martin,16,Male,East Patrickburgh,8th,4.7,8.5,98,3,0.2,4,5,8,0,0.1,20,16,2.8,1.3,0.3,Social Media,8,6.2,8.2,22,Female,Graduate,Bahrain,2.8,LinkedIn,No,7.1,8,Complicated,1,Medium
99,Valerie Blevins,18,Female,East Lynn,9th,2.8,7.0,93,5,0.8,4,5,2,0,1.5,42,6,2.8,1.0,0.6,Social Media,10,8.2,5.1,20,Male,Undergraduate,Oman,4.6,Instagram,Yes,5.9,6,Single,3,High
100,Morgan Mills,16,Female,East Derrick,8th,6.2,8.7,53,1,0.1,7,6,10,1,0.5,24,12,1.6,2.5,1.0,Other,7,6.7,8.8,21,Female,Undergraduate,Jordan,5.4,TikTok,Yes,5.5,5,In Relationship,4,High
101,Christian Perkins,17,Male,East Wendymouth,9th,6.7,8.5,91,4,1.4,8,7,2,0,0.2,49,9,2.1,3.5,1.5,Browsing,8,5.7,10.0,19,Male,High School,Lebanon,5.8,YouTube,Yes,5.2,5,Complicated,4,High
102,John Evans,14,Other,Port Pamelatown,8th,2.2,5.1,69,7,1.0,6,3,8,1,1.3,24,16,2.6,2.2,1.1,Other,9,7.6,8.1,23,Female,Graduate,Iraq,2.5,LinkedIn,No,7.3,8,Single,1,Medium
103,Ashley Chang,13,Female,Harrisbury,11th,4.1,6.3,57,3,2.0,5,3,7,0,0.4,78,13,1.7,2.2,0.3,Gaming,3,5.8,9.0,20,Male,Undergraduate,Yemen,4.7,Facebook,Yes,5.8,6,In Relationship,3,High
104,Julia Ross,13,Male,Taraland,11th,5.3,5.9,85,9,0.6,6,1,2,1,0.9,98,14,2.3,2.6,0.9,Education,8,8.9,10.0,18,Female,High School,Syria,5.6,Instagram,Yes,5.4,5,Single,4,High
